ID Servicio,Servicio,Precio,Duración,AgendaServicios
COLOR5,Colorimetría (4 Patas),$MXN100,0:30,
COLOR1,Colorimetría (Cola),$MXN100,0:30,136
CAS,Corte Asiático - Chico,$MXN300,,
CAX,Corte Asiático - Extra Grande,$MXN500,,
CAL,Corte Asiático - Grande,$MXN400,,
CMM,Corte Asiático - Mediano,$MXN350,,
CCS,Corte Comercial - Chico,$MXN400,1:30,"4,5,15,16,18,20,23,34,45,46,61,73,85,97,111,121,122,123,125,126,148,21,22,151,189,200,204,239,245,246,249,255,256,273,277,281,283,297,312,324,333,335,345,367,385,388,389,392,396,397,398,401,404,406,418,419,423,433,436,442,445,450,451,454,459,470,478,479,480,493,494,495,496,497,500,507,513,514,516,519,524,528,529,544,545,557,558,560,563,564,571,572,579,583,596,597,599,600,601,603,608,609,610,613,617,618,625,628,629,632,641,642,643,646,647,648,655,656,657,660,667,670,687,688,689,691,697,699,700,702,705,708,709,713,712,714,717,718,724,725,726,730,732,733,734,737,748,750,754,755,756,757,758,759,762,765,770,773,775,776,779,786,787,788,790,796,797,800,801,802,811,821,824,825,826,832,843,844,848,852,855,857,858,860,864,866,869,875,877,881,882,886,1029,893,896,898,899,904,905,909,910,911,916,917,918,921,934,937,938,939,943,944,951,953,954,958,971,972,981,983,984,989,990,992,997,1001,1005,1007,1008,1015,1019,1022,1032,1036,1046,1049,1055,1056,1065,1066,1071,1078,1089,1090,1097,1100,1107,1109,1115,1132,1138,1139,1143,1147,1148,1156,1161,1170,1171,1173,1174,1175,1179,1181,1182,1190,1191,1192,1195,1200,1201,1202,1214,1215,1218,1219,1225,1232,1233,1234,1238,1257,1258,1270,1277,1278,1279,1280,1288,1301,1302,1303,1304,1305,1332,1334,1339,1340,1343,1344,1360,1361,1370,1371,1375,1387,1393,1400,1405,1407,1423,1438,1439,1443,1451,1452,1453,1460,1461,1471,1472,1475,1477,1478,1479,1501,1502,1503,1504,1505,1518,1519,1521,1532,1535,1547,1554,1561,1566,1569,1570,1578,1579,1598,1600,1603,1604,1606,1609,1615,1619,1663,1672,1677,1680,1684,1689,1690,1698,1816,1818,1824,3238,3241,3261"
CCX,Corte Comercial - Extra Grande,$MXN600,2:30,"959,2342,2343"
CCL,Corte Comercial - Grande,$MXN500,2:00,"72,90,91,452,585,659,692,696,784,807,895,960,970,980,1080,1157"
CCM,Corte Comercial - Mediano,$MXN450,1:30,"7,12,17,43,62,63,82,98,131,149,44,78,202,205,216,242,248,263,271,290,311,313,314,322,331,332,346,352,358,368,375,384,390,391,416,420,441,469,472,506,508,517,549,569,570,577,582,584,588,598,605,606,644,658,661,671,672,675,679,693,698,711,716,721,764,798,812,813,763,829,835,837,845,847,859,862,871,873,891,936,940,964,968,969,991,1016,1050,1053,1057,1070,1096,1114,1124,1125,1134,1167,1172,1176,1184,1197,1199,1212,1213,1227,1236,1241,1262,1266,1335,1499,1541,1618,1679,1740,1753"
CSP,Corte Comercial - Puppy,$MXN350,1:00,"188,190,244,252,262,278,304,1539,1577,1648,1813,3229,3231,3236,3256,3257,3258"
CRC,Corte de Raza - Chico,$MXN200,,"1706,1707,1708,1720,1731,1751,1752,1755,1782,1800,1819,1827,1834,1837,1876,1877,1883,1897,1899,1913,1915,1925,1931,1933,1938,1939,1940,1941,1951,1952,1960,1961,1962,1963,1969,1970,1971,1973,1977,1980,1983,1990,1991,1992,1995,1998,1999,1989,2000,2001,2002,2004,2006,2013,2014,2016,2019,2020,2034,2040,2042,2043,2050,2053,2056,2058,2059,2060,2065,2066,2071,2072,2073,2077,2080,2082,2083,2108,2117,2119,2131,2138,2142,2144,2155,2170,2171,2176,2179,2185,2187,2191,2192,2193,2198,2208,2212,2213,2214,2217,2218,2223,2224,2227,2228,2229,2250,2265,2267,2285,2290,2292,2293,2294,2301,2306,2316,2318,2319,2320,2328,2331,2332,2335,2336,2339,2356,2357,2369,2371,2388,2393,2394,2404,2406,2407,2414,2416,2417,2423,2424,2425,2428,2429,2445,2447,2455,2457,2459,2465,2466,2473,2479,2480,2481,2494,2500,2507,2508,2509,2516,2521,2528,2544,2545,2550,2551,2553,2567,2568,2571,2572,2573,2576,2582,2584,2592,2600,2605,2608,2609,2610,2615,2616,2622,2636,2643,2646,2647,2650,2651,2652,2654,2655,2657,2662,2664,2666,2668,2672,2673,2677,2687,2688,2689,2693,2702,2703,2707,2708,2709,2710,2713,2717,2725,2730,2733,2734,2740,2743,2749,2750,2751,2752,2757,2758,2766,2767,2768,2771,2777,2787,2796,2798,2799,2805,2808,2809,2810,2812,2804,2814,2815,2822,2828,2831,2835,2836,2846,2852,2858,2857,2864,2866,2873,2882,2883,2890,2893,2895,2896,2909,2910,2914,2915,2916,2922,2923,2929,2940,2951,2954,2955,2964,2965,2969,2973,2974,2975,2976,2978,2986,2987,2998,2999,3003,3007,3009,3010,3016,3017,3018,3030,3031,3032,3038,3041,3042,3043,3044,3047,3048,3049,3050,3056,3059,3060,3064,3080,3081,3095,3097,3100,3102,3103,3104,3108,3109,3110,3114,3115,3122,3125,3126,3129,3131,3136,3137,3141,3148,3150,3154,3156,3157,3158,3159,3167,3169,3170,3173,3179,3181,3182,3183,3186,3188,3191,3192,3206,3208,3209,3210,3211,3213,3214,3215,3223,3221,3227,3265,3266,3267,3279,3286,3289,3291,3293,3308,3310,3316,3318,3322,3323,3324,3326,3327,3330,3331,3333,3337,3341,3343,3344,3345,3349,3357,3366,3367,3384,3389,3396,3399,3400,3401,3402,3407,3408,3409,3411,3412,3413,3415,3416,3424,3429,3433,3434,3435,3442,3447,3448,3460,3464,3465,3466,3473,3479,3480,3487,3488,3489,3490,3497,3498,3499,3503,3507,3519,3523,3525,3527,3529,3530,3546,3548,3549,3552,3557,3559,3561,3562,3565,3558,3569,3570,3585,3589,3591,3592,3593,3594,3595,3606,3607,3385,3614,3615,3616,3623,3625,3631,3642,3643,3648,3649,3653,3655,3670,3672,3674,3675,3677,3678,3679,3681,3683,3684,3696,3697,3699,3700,3703,3705,3711,3719,3720,3725,3726,3727,3730,3742,3743,3744,3748,3749,3752,3753,3755,3756,3757,3767,3770,3771,3772,3774,3800,3801,3802,3805,3807,3808,3814,3815,3822,3823,3824,3825,3826,3827,3828,3836,3846,3850,3851,3852,3856,3857,3858,3861,3863,3867,3868,3870,1724,3873,3874,3875,3876,3882,3883,3884,3888,3889,3893,3894,3906,3918,3930,3931,3932,3933,3935,3939,3953,3954,3957,3963,3964,3969,3971,3972,3977,3986,3989,3992,3995,3996,3997,3998,3999,4000,4008,4002,4011,4012,4014,4015,4019,4023,4033,4034,4039,4045,4050,4053,4054,4055,4064,4066,4067,4071,4072,4077,4081,4093,4094,4095,4096,4106,4108,4128,4130,4136,4145,4147,4149,4157,4158,4159,4167,4168,4183,4184,4194,4196,4198,4199,4200,4201,4202,4217,4218,4219,4221,4224,4238,4239,4241,4242,4251,4252,4253,4254,4258,4261,4273,4274,4276,4282,4283,4288,4293,4294,4303,4304,4314,4318,4319,4321,4322,4327,4330,4335,4336,4339,4340,4342,4349,4369,4370,4378,4387,4388,4391,4392,4394,4402,4398,4403,4426,4428,4430,4435,4437,4442,4446,4447,4452,4455,4456,4457,4472,4473,4477,4478,4483,4485,4486,4492,4493,4496,4497,4507,4509,4515,4519,4520,4523,4533,4536,4544,4545,4548,4563,4565,4567,4570,4572,4573,4584,4587,4593,4594,4597,4598,4603,4604,4613,4614,4622,4627,4628,4630,4631,4632,4633,4634,4635,4637,4642,4653,4654,4656,4657,4658,4667,4668,4671,4672,4673,4678,4684,4688,4703,4708,4709,4711,4712,4713,4716,4720,4721,4722,4725,4727,4734,4737,4739,4740,4743,4745,4757,4758,4759,4760,4761,4763,4765,4766,4782,4784,4785,4795,4797,4801,4804,4806,4808,4809,4810,4814,4815,4819,4820,4823,4829,4830,4831,4832,4834,4835,4845,4846,4849,4861,4864,4865,4872,4873,4874,4877,4878,4881,4883,4884,4889,4895,4897,4898,4900,4901,4910,4911,4912,4914,4925,4926,4927,4932,4934,4936,4937,4938,4944,4945,4950,4961,4963,4964,4965,4968,4970,4971,4973,4974,4978,4979,4982,4983,4984,4987,4988,4989,4992,4997"
CRX,Corte de Raza - Extra Grande,$MXN400,,"2033,2311,2448,2452,2598,2670,2837,3086,3087,3535,3537,4041,4057,4058,4390,4794,4851,4928,4980"
CRL,Corte de Raza - Grande,$MXN300,,"1719,1762,1770,1771,1778,1809,1810,1955,1986,1987,2298,2325,2358,2431,2475,2675,2680,2820,2874,2926,3040,3177,3306,3467,3622,3859,3914,4132,4133,4173,4301,4448,4451,4525,4661,4816,4854,4887,4916,4917"
CRM,Corte de Raza - Mediano,$MXN250,,"1826,1844,1853,1855,1867,1872,1873,1874,1932,1937,1978,2023,2047,2099,2232,2233,2239,2271,2286,2389,2398,2403,2486,2520,2555,2583,2589,2613,2623,2635,2679,2726,2779,2781,2807,2821,2825,2826,2853,2872,2899,2917,2927,2928,2962,2970,2979,3000,3006,3035,3036,3058,3075,3076,3089,3101,3140,3176,3307,3364,3381,3382,3391,3518,3621,3887,3937,3955,3960,3970,4020,4025,4044,4080,4086,4107,4129,4151,4203,4214,4234,4235,4240,4383,4514,4516,4526,4575,4602,4617,4693,4698,4699,4731,4732,4803,4813,4817,4899"
CYS,Curly Coat - Chico,$MXN480,,"1780,1781,1800,1804,2334,2357,2410,2465,2522,2561,2581,2603,2615,2661,2711,2740,2753,2783,2815,2852,2862,2860,2903,2904,2919,2935,2978,3012,3047,3048,3059,3067,3096,3104,3170,3183,3223,3236,3252,3289,3295,3307,3308,3326,3333,3334,3347,3351,3354,3360,3361,3393,3417,3425,3426,3458,3459,3488,3502,3506,3515,3528,3538,3563,3579,3583,3588,3614,3616,3631,3665,3674,3675,3691,3708,3711,3717,3723,3801,3806,3810,3825,3837,3852,3858,3861,3875,3883,3884,3897,3899,3907,3956,3967,3969,4003,4013,4023,4029,4033,4034,4040,4042,4075,4081,4106,4147,4155,4198,4227,4242,4266,4282,4303,4304,4342,4357,4369,4371,4394,4403,4424,4428,4435,4452,4458,4485,4486,4490,4504,4533,4537,4546,4551,4571,4573,4574,4586,4594,4603,4614,4615,4616,4636,4643,4647,4654,4655,4657,4658,4668,4678,4682,4684,4688,4692,4697,4706,4716,4726,4743,4751,4760,4766,4769,4772,4776,4778,4799,4806,4809,4810,4811,4814,4833,4834,4841,4845,4846,4847,4849,4853,4861,4865,4878,4881,4906,4913,4923,4924,4925,4926,4935,4940,4944,4950,4961,4962,4963,4984,4992,4994,4999"
CYX,Curly Coat - Extra Grande,$MXN680,,"2134,2156,2247,2248,2448,2452,2557,2558,2659,2670,2754,2755,2848,2849,2906,2907,3001,3002,3086,3087,3164,3166,3313,3370,3371,3453,3454,3535,3537,3629,3630,3712,3713,3791,3792,3880,3881,3981,3982,4041,4057,4058,4260,4268,4333,4334,4379,4390,4406,4407,4448,4451,4487,4488,4549,4550,4676,4677,4753,4754,4791,4851,4852,4928,4929,4980"
CYL,Curly Coat - Grande,$MXN580,,"1770,1953,1986,1987,2092,2129,2218,2243,2263,2298,2386,2431,2433,2543,2692,2833,2874,2926,2993,3040,3078,3089,3177,3212,3276,3373,3463,3508,3553,3622,3633,3722,3740,3859,3903,3914,3928,3966,3987,4010,4122,4132,4133,4173,4230,4301,4445,4525,4661,4715,4781,4854,4887,4891,4916,4917"
CYM,Curly Coat - Mediano,$MXN530,,"1807,2233,2312,2398,2511,2698,2807,2894,2977,3035,3036,3075,3151,3237,3320,3363,3397,3398,3587,3910,4025,4044,4116,4214,4226,4229,4240,4277,4320,4328,4408,4463,4474,4526,4577,4602,4617,4627,4644,4653,4687,4732,4792,4817,4824,4866,4899,4953,4986"
DES,Deslanado,$MXN250,,"2458,2479,2480,2481,2487,2519,2520,2526,2527,2530,2532,2537,2560,2565,2566,2569,2574,2575,2577,2586,2587,2588,2594,2613,2614,2619,2622,2638,2682,2696,2700,2704,2705,2706,2715,2722,2723,2724,2732,2762,2772,2778,2785,2818,2863,2867,2868,2870,2875,2880,2887,2895,2911,2912,2913,2917,2918,2934,2936,2956,2962,2963,2964,3013,3015,3018,3021,3022,3023,3026,3027,3046,3051,3052,3053,3054,3057,3062,3069,3070,3091,3098,3107,3113,3139,3143,3144,3145,3167,3180,3190,3220,3300,3301,3332,3362,3391,3408,3409,3410,3427,3471,3505,3511,3512,3514,3516,3517,3519,3527,3547,3590,3624,3685,3729,3731,3776,3796,3809,3838,3872,4052,4107,4395,4438,4439,4500,4521,4564,4599,4601,4606,4664,4689,4696,4702,4747,4839,4860,4954,4960"
DSL,Deslanado	,$MXN200,,"3251,3259,3271,3272,3274,3280,3281,3283,3290,3353,3890,3909,3910,3916,3939,3944,3952,3990,4138,4150,4232,4317,4423,4459,4464,4476,4482"
HSS,Hand Stripping - Chico,$MXN800,,"2240,2411,2712,3142,3348,4049,4588,4590"
HSX,Hand Stripping - Extra Grande,$MXN1200,,
HSL,Hand Stripping - Grande,$MXN1050,,2769
HSM,Hand Stripping - Mediano,$MXN900,,4991
KSS,Keratina Chico - Pelo Corto,$MXN120,,"2293,2294"
